,logistic_clinical.pkl,LDA_clinical.pkl,random_forest_clinical.pkl,logistic_lasso_clinical.pkl,logistic_ridge_clinical.pkl
test_f1,0.3654990263574395,0.3426561034613402,0.27776319224986273,0.3055064690212875,0.3654990263574395
test_accuracy,0.3626373626373626,0.32967032967032966,0.45054945054945056,0.3516483516483517,0.3626373626373626
train_f1,0.3571820777044071,0.39731408310817623,0.5933206037072758,0.31205984038082135,0.3571820777044071
train_accuracy,0.4230769230769231,0.4725274725274725,0.6236263736263736,0.4175824175824176,0.4230769230769231
