,LDA,logistic,logistic_lasso,logistic_ridge,random_forest,SVM
test_f1,0.1135485773256671,0.2481842784748069,0.24504970105548599,0.2397721422248364,0.23394894170864133,0.24955189475985134
test_accuracy,0.42857142857142855,0.2087912087912088,0.1978021978021978,0.18681318681318682,0.3956043956043956,0.18681318681318682
train_f1,0.3148907973888392,0.5124103309153651,0.469335507174223,0.42952599574031286,0.4715677106738348,0.45030957252156006
train_accuracy,0.6071428571428571,0.4258241758241758,0.41483516483516486,0.3983516483516483,0.5412087912087912,0.4010989010989011
