,MLP
test_f1,0.2591669924347518
test_accuracy,0.3076923076923077
train_f1,0.4275679750985676
train_accuracy,0.4230769230769231
test_f1_adrenal,0.07692307692307693
test_f1_bone,0.2641509433962264
test_f1_cns,0.19047619047619047
test_f1_liver,0.0625
test_f1_ln,0.5161290322580645
test_f1_lung,0.5135135135135135
test_f1_pleura,0.19047619047619047
