,MLP
test_f1,0.19443159800302653
test_accuracy,0.38461538461538464
train_f1,0.6933784342511825
train_accuracy,0.6126373626373627
test_f1_adrenal,0.13333333333333333
test_f1_bone,0.2702702702702703
test_f1_cns,0.07692307692307693
test_f1_liver,0.1111111111111111
test_f1_ln,0.375
test_f1_lung,0.31746031746031744
test_f1_pleura,0.07692307692307693
