,logistic_ridge,random_forest,logistic_lasso,SVM,LDA,logistic
test_f1,0.7251419596472152,0.7063058589870904,0.6811646731907697,0.7354651162790697,0.7142512077294686,0.7142512077294686
test_accuracy,0.7252747252747253,0.7142857142857143,0.6813186813186813,0.7362637362637363,0.7142857142857143,0.7142857142857143
train_f1,0.77931163137767,0.8361362101675296,0.7458416087388282,0.7895370480377015,0.771779679613781,0.8113070322715421
train_accuracy,0.7857142857142857,0.8461538461538461,0.7527472527472527,0.7994505494505495,0.7802197802197802,0.8159340659340659
test_f1_never_met,0.7311827956989247,0.7547169811320755,0.6741573033707865,0.75,0.7111111111111111,0.717391304347826
test_f1_ever_met,0.7191011235955056,0.6578947368421053,0.6881720430107527,0.7209302325581395,0.717391304347826,0.7111111111111111
