,LDA,SVM,logistic,logistic_lasso,logistic_ridge,random_forest
test_f1,0.6634615384615385,0.6788365583546306,0.6788365583546306,0.6892682926829268,0.6961038961038961,0.6756789971734054
test_accuracy,0.6703296703296703,0.6813186813186813,0.6813186813186813,0.6923076923076923,0.7032967032967034,0.6813186813186813
train_f1,0.704487235065539,0.7134309557549992,0.6884498831802726,0.6976080754882599,0.6924107142857143,0.7070075757575758
train_accuracy,0.717032967032967,0.7252747252747253,0.695054945054945,0.7087912087912088,0.7087912087912088,0.7197802197802198
test_f1_never_met,0.7115384615384616,0.7070707070707071,0.7070707070707071,0.72,0.7428571428571429,0.7184466019417476
test_f1_ever_met,0.6153846153846154,0.6506024096385542,0.6506024096385542,0.6585365853658537,0.6493506493506493,0.6329113924050633
