,LDA,SVM,logistic_ridge,logistic,random_forest,logistic_lasso
test_f1,0.5255710029791459,0.5599613152804642,0.49395551257253384,0.5052555273649872,0.6309450657490476,0.5052555273649872
test_accuracy,0.5384615384615384,0.5604395604395604,0.4945054945054945,0.5054945054945055,0.6373626373626373,0.5054945054945055
train_f1,0.6746557203389831,0.7120526532291238,0.7235839824636944,0.7309514732313055,0.9798683701122726,0.7278504672897197
train_accuracy,0.7032967032967034,0.7252747252747253,0.7335164835164835,0.739010989010989,0.9807692307692307,0.7362637362637363
test_f1_never_met,0.6037735849056604,0.574468085106383,0.4772727272727273,0.4943820224719101,0.6796116504854369,0.4943820224719101
test_f1_ever_met,0.4473684210526316,0.5454545454545454,0.5106382978723404,0.5161290322580645,0.5822784810126582,0.5161290322580645
