,LDA,SVM,logistic,logistic_lasso,logistic_ridge,random_forest
test_f1,0.7142512077294686,0.6811646731907697,0.6922705314009662,0.6922705314009662,0.7231349640988196,0.7219166361080552
test_accuracy,0.7142857142857143,0.6813186813186813,0.6923076923076923,0.6923076923076923,0.7252747252747253,0.7252747252747253
train_f1,0.7582944682712665,0.7681473967302839,0.8053249622136961,0.739700898548021,0.7280741072762589,0.844118766653978
train_accuracy,0.7664835164835165,0.7774725274725275,0.8104395604395604,0.7472527472527473,0.739010989010989,0.8516483516483516
test_f1_never_met,0.717391304347826,0.6881720430107527,0.6888888888888889,0.6888888888888889,0.7474747474747475,0.7524752475247525
test_f1_ever_met,0.7111111111111111,0.6741573033707865,0.6956521739130435,0.6956521739130435,0.6987951807228916,0.691358024691358
